Recursor: Std.IterM.IsPlausibleNthOutputStep.rec | is_sort_poly: false
Recursor: Std.IterM.IsPlausibleNthOutputStep.below.rec | is_sort_poly: false
Recursor: Std.IteratorAccess.rec | is_sort_poly: true
Recursor: Std.Iter.Partial.rec | is_sort_poly: true
Recursor: Std.Iter.Total.rec | is_sort_poly: true
Recursor: Std.IterM.Total.rec | is_sort_poly: true
Recursor: Std.IterM.Partial.rec | is_sort_poly: true
Recursor: Nat.Linear.Expr.rec | is_sort_poly: true
Recursor: Lean.Grind.AC.Context.rec | is_sort_poly: true
Recursor: Lean.Grind.AC.Expr.rec | is_sort_poly: true
Recursor: Lean.Grind.AC.Seq.rec | is_sort_poly: true
Recursor: Nat.Linear.PolyCnstr.rec | is_sort_poly: true
Recursor: Nat.Linear.ExprCnstr.rec | is_sort_poly: true
Recursor: Std.LawfulOrderOrd.rec | is_sort_poly: true
Recursor: Std.PRange.UpwardEnumerable.rec | is_sort_poly: true
Recursor: Std.PRange.Least?.rec | is_sort_poly: true
Recursor: Std.PRange.LawfulUpwardEnumerable.rec | is_sort_poly: true
Recursor: Std.PRange.InfinitelyUpwardEnumerable.rec | is_sort_poly: true
Recursor: Std.PRange.LinearlyUpwardEnumerable.rec | is_sort_poly: true
Recursor: Std.PRange.LawfulUpwardEnumerableLE.rec | is_sort_poly: true
Recursor: Std.PRange.LawfulUpwardEnumerableLT.rec | is_sort_poly: true
Recursor: Std.PRange.LawfulUpwardEnumerableLeast?.rec | is_sort_poly: true
Recursor: Std.Rcc.rec | is_sort_poly: true
Recursor: Std.Rco.rec | is_sort_poly: true
Recursor: Std.Rci.rec | is_sort_poly: true
Recursor: Std.Roc.rec | is_sort_poly: true
Recursor: Std.Roo.rec | is_sort_poly: true
Recursor: Std.Roi.rec | is_sort_poly: true
Recursor: Std.Internal.LawfulMonadLiftBindFunction.rec | is_sort_poly: true
Recursor: Std.Internal.LawfulMonadLiftFunction.rec | is_sort_poly: true
Recursor: Std.Ric.rec | is_sort_poly: true
Recursor: Std.Rio.rec | is_sort_poly: true
Recursor: Std.Rii.rec | is_sort_poly: true
Recursor: Std.Rxc.IsAlwaysFinite.rec | is_sort_poly: true
Recursor: Std.Rxo.IsAlwaysFinite.rec | is_sort_poly: true
Recursor: Std.Rxi.IsAlwaysFinite.rec | is_sort_poly: true
Recursor: Std.IteratorLoop.rec | is_sort_poly: true
Recursor: Std.IteratorLoop.WithWF.rec | is_sort_poly: true
Recursor: Std.Do.SPred.Tactic.PropAsSPredTautology.rec | is_sort_poly: true
